"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0402_1005Metric","20.74mm","34.89mm","20.74mm","34.89mm","20.74mm","34.41mm","T","90","30pF",
"C2","C_0402_1005Metric","25.98mm","36.47mm","25.98mm","36.47mm","25.98mm","36.95mm","T","-90","30pF",
"C3","C_0603_1608Metric","30.119801mm","64.720037mm","30.119801mm","64.720037mm","30.119801mm","63.945037mm","T","90","10uF",
"C4","C_0402_1005Metric","30.11mm","67.88mm","30.11mm","67.88mm","30.11mm","67.4mm","T","90","0.1uF",
"C5","C_0402_1005Metric","39.95mm","59.920037mm","39.95mm","59.920037mm","39.95mm","60.400037mm","T","-90","0.1uF",
"C6","C_0603_1608Metric","36.8mm","59.45mm","36.8mm","59.45mm","36.8mm","60.225mm","T","-90","10uF",
"C7","C_0402_1005Metric","16.419801mm","64.722537mm","16.419801mm","64.722537mm","16.419801mm","64.242537mm","T","90","0.1uF",
"C8","C_0402_1005Metric","37.007801mm","44.727137mm","37.007801mm","44.727137mm","36.527801mm","44.727137mm","T","0","0.1uF",
"C9","C_0402_1005Metric","30.703801mm","39.774137mm","30.703801mm","39.774137mm","30.223801mm","39.774137mm","T","0","0.1uF",
"C10","C_0402_1005Metric","36.86mm","55.95mm","36.86mm","55.95mm","36.38mm","55.95mm","T","0","0.1uF",
"C11","C_0402_1005Metric","21.55mm","39.88mm","21.55mm","39.88mm","22.03mm","39.88mm","T","180","0.1uF",
"C12","C_0402_1005Metric","9.95mm","45.67mm","9.95mm","45.67mm","10.43mm","45.67mm","T","180","0.1uF",
"C13","C_0402_1005Metric","9.893801mm","52.918637mm","9.893801mm","52.918637mm","10.373801mm","52.918637mm","T","180","0.1uF",
"C14","C_0402_1005Metric","36.76mm","48.61mm","36.76mm","48.61mm","37.24mm","48.61mm","T","180","0.1uF",
"D1","LED_0402_1005Metric","31.6525mm","34.18mm","31.6525mm","34.18mm","32.1375mm","34.18mm","T","180","GREEN",
"D2","LED_0402_1005Metric","33.93mm","34.18mm","33.93mm","34.18mm","34.415mm","34.18mm","T","180","RED",
"D3","LED_0402_1005Metric","36.24mm","34.21mm","36.24mm","34.21mm","36.725mm","34.21mm","T","180","YELLOW",
"J5","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","9.708801mm","38.186637mm","9.708801mm","38.186637mm","10.358801mm","38.186637mm","T","180","BOOT0",
"J6","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","16.78mm","39.89mm","16.78mm","39.89mm","16.13mm","39.89mm","T","0","~RST",
"P1","TSOP-I-48_18.4x12mm_P0.5mm","23.95mm","16.5mm","23.95mm","16.5mm","14.2mm","22.25mm","T","0","TSOP-48",
"R1","R_0402_1005Metric","10.0mm","40.68mm","10.0mm","40.68mm","10.51mm","40.68mm","T","180","510",
"R2","R_0402_1005Metric","26.148801mm","39.776037mm","26.148801mm","39.776037mm","26.658801mm","39.776037mm","T","180","10k",
"R3","R_0402_1005Metric","34.204801mm","38.878037mm","34.204801mm","38.878037mm","34.204801mm","38.368037mm","T","90","1k",
"R4","R_0402_1005Metric","36.77mm","51.04mm","36.77mm","51.04mm","37.28mm","51.04mm","T","180","10k",
"R5","R_0402_1005Metric","31.12mm","72.78mm","31.12mm","72.78mm","31.12mm","73.29mm","T","-90","5.1k",
"R6","R_0402_1005Metric","30.07mm","72.78mm","30.07mm","72.78mm","30.07mm","73.29mm","T","-90","5.1k",
"R7","R_0402_1005Metric","22.07mm","63.64mm","22.07mm","63.64mm","22.07mm","64.15mm","T","-90","1.5k",
"R8","R_0402_1005Metric","8.83mm","64.64mm","8.83mm","64.64mm","8.83mm","64.13mm","T","90","10k",
"R9","R_0402_1005Metric","11.29mm","64.64mm","11.29mm","64.64mm","11.29mm","64.13mm","T","90","10k",
"R10","R_0402_1005Metric","9.893801mm","55.331637mm","9.893801mm","55.331637mm","10.403801mm","55.331637mm","T","180","10k",
"R11","R_0402_1005Metric","9.938801mm","47.902137mm","9.938801mm","47.902137mm","9.428801mm","47.902137mm","T","0","10k",
"R12","R_0402_1005Metric","9.893801mm","57.744637mm","9.893801mm","57.744637mm","9.383801mm","57.744637mm","T","0","10k",
"R13","R_0402_1005Metric","36.6mm","38.79mm","36.6mm","38.79mm","36.6mm","38.28mm","T","90","1k",
"R14","R_0402_1005Metric","38.98mm","38.79mm","38.98mm","38.79mm","38.98mm","38.28mm","T","90","1k",
"R15","R_0402_1005Metric","10.01mm","43.16mm","10.01mm","43.16mm","9.5mm","43.16mm","T","0","10k",
"R16","R_0402_1005Metric","24.13mm","63.63mm","24.13mm","63.63mm","24.13mm","63.12mm","T","90","22",
"R17","R_0402_1005Metric","23.1mm","63.63mm","23.1mm","63.63mm","23.1mm","63.12mm","T","90","22",
"U1","SOT-223","36.619801mm","65.520037mm","36.619801mm","65.520037mm","33.469801mm","67.820037mm","T","0","LM1117-3.3",
"U2","LQFP-100_14x14mm_Pitch0.5mm","23.989801mm","51.777537mm","23.989801mm","51.777537mm","17.989801mm","43.877537mm","T","90","STM32F103VCT6",
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","23.36mm","35.68mm","23.36mm","35.68mm","24.46mm","36.53mm","T","180","Crystal_GND24_Small",
"Through Hole Items ",
"J1","PinHeader_1x04_P2.54mm_Vertical","10.819801mm","71.119737mm","10.819801mm","71.119737mm","10.819801mm","71.119737mm","T","-90","Conn_01x04",
"J2","PinHeader_1x03_P2.54mm_Vertical","44.819801mm","71.145037mm","44.819801mm","71.145037mm","44.819801mm","71.145037mm","T","-90","Conn_01x03",
"J3","PinHeader_2x12_P2.54mm_Vertical","2.399801mm","66.509537mm","2.399801mm","66.509537mm","2.399801mm","66.509537mm","T","0","Conn_02x12_Odd_Even_Left",
"J4","PinHeader_2x12_P2.54mm_Vertical_2","43.039801mm","66.509537mm","43.039801mm","66.509537mm","45.579801mm","38.569537mm","T","0","Conn_02x12_Odd_Even_Right",
"J7","USB_C_Receptacle_HRO_TYPE-C-31-M-12","23.12mm","71.73mm","23.12mm","71.73mm","26.01mm","69.13mm","T","180","USB_C_Receptacle_USB2.0",
"J8","PinSocket_2x12_P2.54mm_Vertical","2.36mm","30.47mm","2.36mm","30.47mm","2.36mm","30.47mm","B","180","Conn_02x12_Odd_Even_1",
"J9","PinSocket_2x12_P2.54mm_Vertical_2","43.0mm","30.47mm","43.0mm","30.47mm","45.54mm","2.53mm","B","180","Conn_02x12_Odd_Even_2",
